customer_id,customer_name,ticket_id,issue_type,resolution_type,resolution_status,previous_resolution_attempts,ticket_created_date,ticket_closed_date,csat_score,resolution_time_hours,escalated
CUST-1388,Customer_2862,TKT-1447685,Ports not functioning with external devices,"The resolution steps I followed were based on whats recommended in the article 'How to troubleshoot: Blue Screen Error'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-08-11,2024-08-19,5,192.0,0
CUST-80441,Customer_4535,TKT-2400202,Laptop randomly shuts down after update,"I've handled similar issues before, so I used the guidance as outlined in the KB article a05a6797-8ff0-4b68-9ddc-4098d964d9f9 titled 'How to troubleshoot: Keyboard Not Working' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-06-03,2024-06-06,1,72.0,1
CUST-51383,Customer_5061,TKT-9525386,Touchpad Not Responding,"I've handled similar issues before, so I used the guidance in the article 'How to troubleshoot: Blue Screen Error' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2025-03-11,2025-03-18,1,168.0,0
CUST-1996,Customer_8007,TKT-3839770,Cannot Connect to Internet,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: Cannot Connect to Internet'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-09-22,2024-09-25,2,72.0,1
CUST-9147,Customer_1039,TKT-4817775,Keyboard Not Working,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2025-03-20,2025-03-30,3,240.0,0
CUST-23433,Customer_3779,TKT-7336854,Blue Screen Error,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: Overheating'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2025-03-26,2025-03-31,3,120.0,1
CUST-4350,Customer_1600,TKT-3580010,Blue Screen Error,"After listening to the issue, I decided to follow a structured approach using as outlined in the KB article 166e8b91-9aa9-4518-b6fa-f95e1503e9a9 titled 'How to troubleshoot: Display Flickering'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2024-12-11,2024-12-16,3,120.0,0
CUST-4382,Customer_4647,TKT-4804807,Cannot Connect to Internet,"We began with a few checks and proceeded based on the process defined as outlined in the KB article f852153c-3a7e-4675-be03-e750ddce029d titled 'How to troubleshoot: Blue Screen Error'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-06-25,2024-07-01,5,144.0,1
CUST-8428,Customer_4025,TKT-7404069,Blue Screen Error,"The customer reported a recurring issue, so I walked them through a few basic steps in the article 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2025-04-21,2025-04-25,1,96.0,0
CUST-34063,Customer_2540,TKT-3680708,Battery Not Charging,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: No Sound'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2025-04-08,2025-04-12,5,96.0,1
CUST-63461,Customer_1601,TKT-1826456,No POST,"We began with a few checks and proceeded based on the process defined as outlined in the KB article 9001120c-fdeb-4f4a-b565-9db0766352f1 titled 'How to troubleshoot: Blue Screen Error'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-08-17,2024-08-22,4,120.0,0
CUST-20757,Customer_2965,TKT-3746563,Keyboard Not Working,"The customer reported a recurring issue, so I walked them through a few basic steps in the article 'How to troubleshoot: Touchpad Not Responding'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2024-05-13,2024-05-23,1,240.0,0
CUST-40981,Customer_2547,TKT-7348854,Overheating,"We began with a few checks and proceeded based on the process defined as outlined in the KB article c1df1caa-2f8b-490d-a51a-27c53e450107 titled 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-05-24,2024-05-31,3,168.0,0
CUST-1882,Customer_9686,TKT-5827610,Blue Screen Error,"We began with a few checks and proceeded based on the process defined as outlined in the KB article 7061c011-2456-42ec-8f43-53be628cc79c titled 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-12-26,2025-01-02,5,168.0,0
CUST-93091,Customer_8929,TKT-9214813,Overheating,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: Cannot Connect to Internet'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-06-15,2024-06-21,4,144.0,0
CUST-5782,Customer_2973,TKT-5808815,Slow Performance,"The resolution steps I followed were based on whats recommended in the article 'How to troubleshoot: No Sound'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-12-31,2025-01-08,2,192.0,0
CUST-75628,Customer_1385,TKT-5463346,Keyboard Not Working,"After listening to the issue, I decided to follow a structured approach using in the article 'How to troubleshoot: No Sound'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2025-01-03,2025-01-05,5,48.0,0
CUST-4238,Customer_9510,TKT-7156067,Battery Not Charging,"We began with a few checks and proceeded based on the process defined as outlined in the KB article f8c0f8e8-dc93-4d46-a4cc-20f176fcd061 titled 'How to troubleshoot: Display Flickering'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2025-01-03,2025-01-07,3,96.0,0
CUST-1667,Customer_4261,TKT-9136114,Cannot Connect to Internet,"We began with a few checks and proceeded based on the process defined as outlined in the KB article 790c6e52-32fd-48ab-a3b0-c2fb0031e15d titled 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-09-30,2024-10-04,2,96.0,0
CUST-38444,Customer_5727,TKT-5511668,No Sound,"The customer reported a recurring issue, so I walked them through a few basic steps as outlined in the KB article 84904bf6-ceb4-4468-9393-801ea9eee923 titled 'How to troubleshoot: No Sound'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2025-04-16,2025-04-22,1,144.0,0
CUST-1235,Customer_7231,TKT-2894538,Battery Not Charging,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: Touchpad Not Responding'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,2,2025-02-02,2025-02-09,4,168.0,1
CUST-7272,Customer_1693,TKT-5877945,No Sound,"After listening to the issue, I decided to follow a structured approach using in the article 'How to troubleshoot: Blue Screen Error'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-11-03,2024-11-04,5,24.0,1
CUST-7582,Customer_7936,TKT-4516482,Blue Screen Error,"The customer reported a recurring issue, so I walked them through a few basic steps as outlined in the KB article 4c4abc3c-16fc-45dd-a1d6-292de27fd2a0 titled 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,1,2024-07-28,2024-07-29,1,24.0,0
CUST-83997,Customer_9043,TKT-7490486,Touchpad Not Responding,"After listening to the issue, I decided to follow a structured approach using as outlined in the KB article 4719c89a-b715-49eb-a472-2014150e892b titled 'How to troubleshoot: Keyboard Not Working'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2024-08-12,2024-08-17,1,120.0,0
CUST-1741,Customer_6082,TKT-3540477,Keyboard Not Working,"The resolution steps I followed were based on whats recommended as outlined in the KB article 4c935e64-efab-474c-9a5b-f9bdb08d587e titled 'How to troubleshoot: Battery Not Charging'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2025-04-02,2025-04-07,5,120.0,0
CUST-47588,Customer_4283,TKT-3650101,Overheating,"We began with a few checks and proceeded based on the process defined in the article 'How to troubleshoot: Touchpad Not Responding'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,3,2025-04-04,2025-04-12,4,192.0,0
CUST-3890,Customer_6340,TKT-3401258,No POST,"I've handled similar issues before, so I used the guidance as outlined in the KB article 166e8b91-9aa9-4518-b6fa-f95e1503e9a9 titled 'How to troubleshoot: Display Flickering' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2024-06-20,2024-06-24,3,96.0,0
CUST-9644,Customer_8200,TKT-5015261,Touchpad Not Responding,"I've handled similar issues before, so I used the guidance in the article 'How to troubleshoot: Cannot Connect to Internet' to troubleshoot this. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2025-01-23,2025-01-25,4,48.0,0
CUST-6225,Customer_9515,TKT-2766393,No POST,"The customer reported a recurring issue, so I walked them through a few basic steps as outlined in the KB article 9907cc9c-5655-45a8-8973-fe79c4b355c9 titled 'How to troubleshoot: Slow Performance'. I first verified the hardware status and ensured all connections were secure. Next, we checked for driver updates, confirmed BIOS settings, and validated the system's power configuration. The customer was advised to reboot, test the issue under Safe Mode, and temporarily disable conflicting applications. After walking through each step, I documented the progress and confirmed the resolution with the customer. Everything was explained clearly and the customer acknowledged that the issue was resolved.",resolved,0,2025-03-06,2025-03-07,4,24.0,0
