chat_id,speaker,text,sequence,ticket_id_x,ticket_id_y
CHAT-0002,Customer,You still haven't resolved my issue.,23,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I understand your concern.,24,TKT-8502614,TKT-7079756
CHAT-0002,Customer,Great service!,25,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I understand your concern.,26,TKT-8502614,TKT-7079756
CHAT-0002,Customer,I'm really unhappy with this service.,27,TKT-8502614,TKT-7079756
CHAT-0002,Agent,Thanks for waiting.,28,TKT-8502614,TKT-7079756
CHAT-0002,Customer,You're really helpful!,29,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I understand your concern.,30,TKT-8502614,TKT-7079756
CHAT-0002,Customer,"Okay, noted.",31,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I'll escalate this for you.,32,TKT-8502614,TKT-7079756
CHAT-0002,Customer,Can you help me with this?,33,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I'll escalate this for you.,34,TKT-8502614,TKT-7079756
CHAT-0002,Customer,This is unacceptable.,35,TKT-8502614,TKT-7079756
CHAT-0002,Agent,Thanks for waiting.,36,TKT-8502614,TKT-7079756
CHAT-0002,Customer,Terrible support.,37,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I'm looking into it for you.,38,TKT-8502614,TKT-7079756
CHAT-0002,Customer,Please check and let me know.,39,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I'm looking into it for you.,40,TKT-8502614,TKT-7079756
CHAT-0002,Customer,Why do I need to repeat myself?,41,TKT-8502614,TKT-7079756
CHAT-0002,Agent,This should be resolved now.,42,TKT-8502614,TKT-7079756
CHAT-0002,Customer,You're really helpful!,43,TKT-8502614,TKT-7079756
CHAT-0002,Agent,I'm looking into it for you.,44,TKT-8502614,TKT-7079756
CHAT-0002,Customer,"All good now, thanks!",45,TKT-8502614,TKT-7079756
CHAT-0003,Customer,I'm checking the issue again.,1,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I'm looking into it for you.,2,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Why do I need to repeat myself?,3,TKT-2874375,TKT-1223677
CHAT-0003,Agent,This should be resolved now.,4,TKT-2874375,TKT-1223677
CHAT-0003,Customer,I'm checking the issue again.,5,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I'll escalate this for you.,6,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Can you help me with this?,7,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I'll escalate this for you.,8,TKT-2874375,TKT-1223677
CHAT-0003,Customer,I want to speak to a supervisor.,9,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I’ve shared the update.,10,TKT-2874375,TKT-1223677
CHAT-0003,Customer,I appreciate your support.,11,TKT-2874375,TKT-1223677
CHAT-0003,Agent,Thanks for waiting.,12,TKT-2874375,TKT-1223677
CHAT-0003,Customer,"Okay, noted.",13,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I understand your concern.,14,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Waiting for your response.,15,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I'm looking into it for you.,16,TKT-2874375,TKT-1223677
CHAT-0003,Customer,"Okay, noted.",17,TKT-2874375,TKT-1223677
CHAT-0003,Agent,This should be resolved now.,18,TKT-2874375,TKT-1223677
CHAT-0003,Customer,"Okay, noted.",19,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I'm looking into it for you.,20,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Waiting for your response.,21,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I understand your concern.,22,TKT-2874375,TKT-1223677
CHAT-0003,Customer,"Thank you so much, that helped!",23,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I'll escalate this for you.,24,TKT-2874375,TKT-1223677
CHAT-0003,Customer,This is getting frustrating.,25,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I understand your concern.,26,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Waiting for your response.,27,TKT-2874375,TKT-1223677
CHAT-0003,Agent,This should be resolved now.,28,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Can you help me with this?,29,TKT-2874375,TKT-1223677
CHAT-0003,Agent,Let me check your account.,30,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Can you help me with this?,31,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I understand your concern.,32,TKT-2874375,TKT-1223677
CHAT-0003,Customer,This is unacceptable.,33,TKT-2874375,TKT-1223677
CHAT-0003,Agent,Thanks for waiting.,34,TKT-2874375,TKT-1223677
CHAT-0003,Customer,This is unacceptable.,35,TKT-2874375,TKT-1223677
CHAT-0003,Agent,This should be resolved now.,36,TKT-2874375,TKT-1223677
CHAT-0003,Customer,Can you help me with this?,37,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I'm looking into it for you.,38,TKT-2874375,TKT-1223677
CHAT-0003,Customer,This was quick and easy.,39,TKT-2874375,TKT-1223677
CHAT-0003,Agent,I’ve shared the update.,40,TKT-2874375,TKT-1223677
CHAT-0003,Customer,"Okay, noted.",41,TKT-2874375,TKT-1223677
CHAT-0003,Agent,Thanks for waiting.,42,TKT-2874375,TKT-1223677
CHAT-0003,Customer,I'm checking the issue again.,43,TKT-2874375,TKT-1223677
CHAT-0003,Agent,Let me check your account.,44,TKT-2874375,TKT-1223677
CHAT-0003,Customer,"Okay, noted.",45,TKT-2874375,TKT-1223677
CHAT-0004,Customer,This is unacceptable.,1,TKT-8489777,TKT-2782866
CHAT-0004,Agent,Let me check your account.,2,TKT-8489777,TKT-2782866
CHAT-0004,Customer,I want to speak to a supervisor.,3,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'll escalate this for you.,4,TKT-8489777,TKT-2782866
CHAT-0004,Customer,You still haven't resolved my issue.,5,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'll escalate this for you.,6,TKT-8489777,TKT-2782866
CHAT-0004,Customer,You're really helpful!,7,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'll escalate this for you.,8,TKT-8489777,TKT-2782866
CHAT-0004,Customer,You still haven't resolved my issue.,9,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'm looking into it for you.,10,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Great service!,11,TKT-8489777,TKT-2782866
CHAT-0004,Agent,Let me check your account.,12,TKT-8489777,TKT-2782866
CHAT-0004,Customer,I see. What should I do now?,13,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I’ve shared the update.,14,TKT-8489777,TKT-2782866
CHAT-0004,Customer,"Okay, noted.",15,TKT-8489777,TKT-2782866
CHAT-0004,Agent,This should be resolved now.,16,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Waiting for your response.,17,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I understand your concern.,18,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Thanks for resolving it fast.,19,TKT-8489777,TKT-2782866
CHAT-0004,Agent,This should be resolved now.,20,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Waiting for your response.,21,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I understand your concern.,22,TKT-8489777,TKT-2782866
CHAT-0004,Customer,I'm checking the issue again.,23,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'm looking into it for you.,24,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Please check and let me know.,25,TKT-8489777,TKT-2782866
CHAT-0004,Agent,This should be resolved now.,26,TKT-8489777,TKT-2782866
CHAT-0004,Customer,I appreciate your support.,27,TKT-8489777,TKT-2782866
CHAT-0004,Agent,Thanks for waiting.,28,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Why do I need to repeat myself?,29,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'll escalate this for you.,30,TKT-8489777,TKT-2782866
CHAT-0004,Customer,I see. What should I do now?,31,TKT-8489777,TKT-2782866
CHAT-0004,Agent,Thanks for waiting.,32,TKT-8489777,TKT-2782866
CHAT-0004,Customer,I appreciate your support.,33,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'll escalate this for you.,34,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Terrible support.,35,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'm looking into it for you.,36,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Waiting for your response.,37,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I’ve shared the update.,38,TKT-8489777,TKT-2782866
CHAT-0004,Customer,You still haven't resolved my issue.,39,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I’ve shared the update.,40,TKT-8489777,TKT-2782866
CHAT-0004,Customer,I just need some clarity on this.,41,TKT-8489777,TKT-2782866
CHAT-0004,Agent,I'll escalate this for you.,42,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Great service!,43,TKT-8489777,TKT-2782866
CHAT-0004,Agent,Let me check your account.,44,TKT-8489777,TKT-2782866
CHAT-0004,Customer,Thanks for resolving it fast.,45,TKT-8489777,TKT-2782866
CHAT-0005,Customer,I'm checking the issue again.,1,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'm looking into it for you.,2,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I appreciate your support.,3,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'm looking into it for you.,4,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I want to speak to a supervisor.,5,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'm looking into it for you.,6,TKT-1516424,TKT-8398133
CHAT-0005,Customer,You still haven't resolved my issue.,7,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I’ve shared the update.,8,TKT-1516424,TKT-8398133
CHAT-0005,Customer,Thanks for resolving it fast.,9,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I’ve shared the update.,10,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I see. What should I do now?,11,TKT-1516424,TKT-8398133
CHAT-0005,Agent,This should be resolved now.,12,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I appreciate your support.,13,TKT-1516424,TKT-8398133
CHAT-0005,Agent,Thanks for waiting.,14,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I'm really unhappy with this service.,15,TKT-1516424,TKT-8398133
CHAT-0005,Agent,This should be resolved now.,16,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I see. What should I do now?,17,TKT-1516424,TKT-8398133
CHAT-0005,Agent,Let me check your account.,18,TKT-1516424,TKT-8398133
CHAT-0005,Customer,Great service!,19,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I’ve shared the update.,20,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I want to speak to a supervisor.,21,TKT-1516424,TKT-8398133
CHAT-0005,Agent,Thanks for waiting.,22,TKT-1516424,TKT-8398133
CHAT-0005,Customer,"Okay, noted.",23,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I understand your concern.,24,TKT-1516424,TKT-8398133
CHAT-0005,Customer,This is unacceptable.,25,TKT-1516424,TKT-8398133
CHAT-0005,Agent,This should be resolved now.,26,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I'm checking the issue again.,27,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'll escalate this for you.,28,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I'm checking the issue again.,29,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I understand your concern.,30,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I just need some clarity on this.,31,TKT-1516424,TKT-8398133
CHAT-0005,Agent,Let me check your account.,32,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I see. What should I do now?,33,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'm looking into it for you.,34,TKT-1516424,TKT-8398133
CHAT-0005,Customer,Great service!,35,TKT-1516424,TKT-8398133
CHAT-0005,Agent,This should be resolved now.,36,TKT-1516424,TKT-8398133
CHAT-0005,Customer,I appreciate your support.,37,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'll escalate this for you.,38,TKT-1516424,TKT-8398133
CHAT-0005,Customer,This is getting frustrating.,39,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'm looking into it for you.,40,TKT-1516424,TKT-8398133
CHAT-0005,Customer,You're really helpful!,41,TKT-1516424,TKT-8398133
CHAT-0005,Agent,Let me check your account.,42,TKT-1516424,TKT-8398133
CHAT-0005,Customer,Can you help me with this?,43,TKT-1516424,TKT-8398133
CHAT-0005,Agent,I'll escalate this for you.,44,TKT-1516424,TKT-8398133
CHAT-0005,Customer,Great service!,45,TKT-1516424,TKT-8398133
CHAT-0006,Customer,Terrible support.,1,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I'll escalate this for you.,2,TKT-8361433,TKT-1065045
CHAT-0006,Customer,I want to speak to a supervisor.,3,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I understand your concern.,4,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Can you help me with this?,5,TKT-8361433,TKT-1065045
CHAT-0006,Agent,Thanks for waiting.,6,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Can you help me with this?,7,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I understand your concern.,8,TKT-8361433,TKT-1065045
CHAT-0006,Customer,I appreciate your support.,9,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I'm looking into it for you.,10,TKT-8361433,TKT-1065045
CHAT-0006,Customer,"All good now, thanks!",11,TKT-8361433,TKT-1065045
CHAT-0006,Agent,This should be resolved now.,12,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Please check and let me know.,13,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I understand your concern.,14,TKT-8361433,TKT-1065045
CHAT-0006,Customer,I just need some clarity on this.,15,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I understand your concern.,16,TKT-8361433,TKT-1065045
CHAT-0006,Customer,You're really helpful!,17,TKT-8361433,TKT-1065045
CHAT-0006,Agent,This should be resolved now.,18,TKT-8361433,TKT-1065045
CHAT-0006,Customer,"Okay, noted.",19,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I'm looking into it for you.,20,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Terrible support.,21,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I'll escalate this for you.,22,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Terrible support.,23,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I’ve shared the update.,24,TKT-8361433,TKT-1065045
CHAT-0006,Customer,I'm checking the issue again.,25,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I'll escalate this for you.,26,TKT-8361433,TKT-1065045
CHAT-0006,Customer,This is getting frustrating.,27,TKT-8361433,TKT-1065045
CHAT-0006,Agent,Let me check your account.,28,TKT-8361433,TKT-1065045
CHAT-0006,Customer,I appreciate your support.,29,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I'll escalate this for you.,30,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Please check and let me know.,31,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I’ve shared the update.,32,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Why do I need to repeat myself?,33,TKT-8361433,TKT-1065045
CHAT-0006,Agent,Thanks for waiting.,34,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Great service!,35,TKT-8361433,TKT-1065045
CHAT-0006,Agent,Thanks for waiting.,36,TKT-8361433,TKT-1065045
CHAT-0006,Customer,Terrible support.,37,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I'll escalate this for you.,38,TKT-8361433,TKT-1065045
CHAT-0006,Customer,"Okay, noted.",39,TKT-8361433,TKT-1065045
CHAT-0006,Agent,I understand your concern.,40,TKT-8361433,TKT-1065045
CHAT-0006,Customer,This is unacceptable.,41,TKT-8361433,TKT-1065045
CHAT-0006,Agent,Thanks for waiting.,42,TKT-8361433,TKT-1065045
CHAT-0006,Customer,"Thank you so much, that helped!",43,TKT-8361433,TKT-1065045
CHAT-0006,Agent,This should be resolved now.,44,TKT-8361433,TKT-1065045
CHAT-0006,Customer,I'm really unhappy with this service.,45,TKT-8361433,TKT-1065045
CHAT-0007,Customer,Why do I need to repeat myself?,1,TKT-3659560,TKT-6093180
CHAT-0007,Agent,Let me check your account.,2,TKT-3659560,TKT-6093180
CHAT-0007,Customer,I see. What should I do now?,3,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I'm looking into it for you.,4,TKT-3659560,TKT-6093180
CHAT-0007,Customer,This is getting frustrating.,5,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I understand your concern.,6,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Can you help me with this?,7,TKT-3659560,TKT-6093180
CHAT-0007,Agent,Let me check your account.,8,TKT-3659560,TKT-6093180
CHAT-0007,Customer,I'm really unhappy with this service.,9,TKT-3659560,TKT-6093180
CHAT-0007,Agent,This should be resolved now.,10,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Waiting for your response.,11,TKT-3659560,TKT-6093180
CHAT-0007,Agent,This should be resolved now.,12,TKT-3659560,TKT-6093180
CHAT-0007,Customer,I appreciate your support.,13,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I’ve shared the update.,14,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Waiting for your response.,15,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I'll escalate this for you.,16,TKT-3659560,TKT-6093180
CHAT-0007,Customer,"All good now, thanks!",17,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I understand your concern.,18,TKT-3659560,TKT-6093180
CHAT-0007,Customer,I'm checking the issue again.,19,TKT-3659560,TKT-6093180
CHAT-0007,Agent,This should be resolved now.,20,TKT-3659560,TKT-6093180
CHAT-0007,Customer,"All good now, thanks!",21,TKT-3659560,TKT-6093180
CHAT-0007,Agent,Thanks for waiting.,22,TKT-3659560,TKT-6093180
CHAT-0007,Customer,This is getting frustrating.,23,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I’ve shared the update.,24,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Waiting for your response.,25,TKT-3659560,TKT-6093180
CHAT-0007,Agent,This should be resolved now.,26,TKT-3659560,TKT-6093180
CHAT-0007,Customer,I want to speak to a supervisor.,27,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I’ve shared the update.,28,TKT-3659560,TKT-6093180
CHAT-0007,Customer,"Okay, noted.",29,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I'll escalate this for you.,30,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Thanks for resolving it fast.,31,TKT-3659560,TKT-6093180
CHAT-0007,Agent,Let me check your account.,32,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Please check and let me know.,33,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I’ve shared the update.,34,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Why do I need to repeat myself?,35,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I'll escalate this for you.,36,TKT-3659560,TKT-6093180
CHAT-0007,Customer,You still haven't resolved my issue.,37,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I'm looking into it for you.,38,TKT-3659560,TKT-6093180
CHAT-0007,Customer,This is getting frustrating.,39,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I'll escalate this for you.,40,TKT-3659560,TKT-6093180
CHAT-0007,Customer,I'm really unhappy with this service.,41,TKT-3659560,TKT-6093180
CHAT-0007,Agent,I understand your concern.,42,TKT-3659560,TKT-6093180
CHAT-0007,Customer,I see. What should I do now?,43,TKT-3659560,TKT-6093180
CHAT-0007,Agent,Let me check your account.,44,TKT-3659560,TKT-6093180
CHAT-0007,Customer,Great service!,45,TKT-3659560,TKT-6093180
CHAT-0008,Customer,Can you help me with this?,1,TKT-3960376,TKT-3987679
CHAT-0008,Agent,I'll escalate this for you.,2,TKT-3960376,TKT-3987679
CHAT-0008,Customer,This was quick and easy.,3,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Thanks for waiting.,4,TKT-3960376,TKT-3987679
CHAT-0008,Customer,You still haven't resolved my issue.,5,TKT-3960376,TKT-3987679
CHAT-0008,Agent,I understand your concern.,6,TKT-3960376,TKT-3987679
CHAT-0008,Customer,Why do I need to repeat myself?,7,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Let me check your account.,8,TKT-3960376,TKT-3987679
CHAT-0008,Customer,Can you help me with this?,9,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Let me check your account.,10,TKT-3960376,TKT-3987679
CHAT-0008,Customer,This is unacceptable.,11,TKT-3960376,TKT-3987679
CHAT-0008,Agent,I'm looking into it for you.,12,TKT-3960376,TKT-3987679
CHAT-0008,Customer,You still haven't resolved my issue.,13,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Let me check your account.,14,TKT-3960376,TKT-3987679
CHAT-0008,Customer,"All good now, thanks!",15,TKT-3960376,TKT-3987679
CHAT-0008,Agent,I’ve shared the update.,16,TKT-3960376,TKT-3987679
CHAT-0008,Customer,Waiting for your response.,17,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Let me check your account.,18,TKT-3960376,TKT-3987679
CHAT-0008,Customer,This is unacceptable.,19,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Thanks for waiting.,20,TKT-3960376,TKT-3987679
CHAT-0008,Customer,I want to speak to a supervisor.,21,TKT-3960376,TKT-3987679
CHAT-0008,Agent,I'll escalate this for you.,22,TKT-3960376,TKT-3987679
CHAT-0008,Customer,Why do I need to repeat myself?,23,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Let me check your account.,24,TKT-3960376,TKT-3987679
CHAT-0008,Customer,You're really helpful!,25,TKT-3960376,TKT-3987679
CHAT-0008,Agent,This should be resolved now.,26,TKT-3960376,TKT-3987679
CHAT-0008,Customer,"All good now, thanks!",27,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Thanks for waiting.,28,TKT-3960376,TKT-3987679
CHAT-0008,Customer,I appreciate your support.,29,TKT-3960376,TKT-3987679
CHAT-0008,Agent,I understand your concern.,30,TKT-3960376,TKT-3987679
CHAT-0008,Customer,This was quick and easy.,31,TKT-3960376,TKT-3987679
CHAT-0008,Agent,This should be resolved now.,32,TKT-3960376,TKT-3987679
CHAT-0008,Customer,This is unacceptable.,33,TKT-3960376,TKT-3987679
CHAT-0008,Agent,Thanks for waiting.,34,TKT-3960376,TKT-3987679
CHAT-0008,Customer,You still haven't resolved my issue.,35,TKT-3960376,TKT-3987679
